Name,Slug,Search Term,NTEE Code,NTEE Meaning,Primary Category,Has Address,Has EIN,Has Website
"Healing Waters",healing-waters,water,MISSING,"MISSING",MISSING,NO,YES,NO
"Flowing Waters",flowing-waters,water,MISSING,"MISSING",MISSING,NO,YES,NO
"Water For Water",water-for-water,water,MISSING,"MISSING",MISSING,NO,YES,NO
"Waterside Workshops",watersideworkshops,water,MISSING,"MISSING",MISSING,NO,YES,YES
"Kelce Water",kelce-water,water,MISSING,"MISSING",MISSING,NO,YES,YES
"Living Waters",living-waters,water,MISSING,"MISSING",MISSING,NO,YES,NO
"Solea Water",solea-water,water,MISSING,"MISSING",MISSING,NO,YES,NO
"Southern Poverty Law Center",splcenter,poverty,MISSING,"MISSING",MISSING,NO,YES,YES
"End Poverty Now",end-poverty-now,poverty,MISSING,"MISSING",MISSING,NO,YES,YES
"World Poverty Alleviation",world-poverty-alleviation,poverty,MISSING,"MISSING",MISSING,NO,YES,NO
"Outsmart Poverty",outsmart-poverty,poverty,MISSING,"MISSING",MISSING,NO,YES,NO
"Preventing Poverty",preventing-poverty,poverty,MISSING,"MISSING",MISSING,NO,YES,NO
"Joining Together Eliminating Poverty",joining-together-eliminating-poverty,poverty,MISSING,"MISSING",MISSING,NO,YES,NO
"Perfectescape From Poverty",perfectescape-from-poverty,poverty,MISSING,"MISSING",MISSING,NO,YES,NO
"Transforming Poverty",transforming-poverty,poverty,MISSING,"MISSING",MISSING,NO,YES,NO
"Ending Poverty Through Education",ending-poverty-through-education,poverty,MISSING,"MISSING",MISSING,NO,YES,NO
"Lets End Poverty",lets-end-poverty,poverty,MISSING,"MISSING",MISSING,NO,YES,NO
"Friends of The Animal Shelter and Guardians of The Homeless Animals",foha,animals,MISSING,"MISSING",MISSING,NO,YES,YES
"Animal Vues",animal-vues,animals,MISSING,"MISSING",MISSING,NO,YES,NO
"Animal Unfarm",animal-unfarm,animals,MISSING,"MISSING",MISSING,NO,YES,NO
"Friends Of The Animals At Chesapeake Animal Services",friends-of-the-animals-at-chesapeake-animal-services,animals,MISSING,"MISSING",MISSING,NO,YES,NO
"EA Animal Welfare Fund",ea-animal-welfare-fund,animals,MISSING,"MISSING",MISSING,NO,NO,YES
"Animal Helpine",animal-helpine,animals,MISSING,"MISSING",MISSING,NO,YES,NO
"Rescueconnect Animal Rescue",rescueconnect-animal-rescue,animals,MISSING,"MISSING",MISSING,NO,YES,NO
"No Animals Left Behind Animal Rescue",no-animals-left-behind-animal-rescue,animals,MISSING,"MISSING",MISSING,NO,YES,NO
"Justcare Animal Rescue",justcare-animal-rescue,animals,MISSING,"MISSING",MISSING,NO,YES,NO
"Ashburns Animals",ashburns-animals,animals,MISSING,"MISSING",MISSING,NO,YES,NO
"Creative Environmental Conservation",creative-environmental-conservation,environment,MISSING,"MISSING",MISSING,NO,YES,YES
"Soulaani Environmental Alliance",soulaani-environmental-alliance,environment,MISSING,"MISSING",MISSING,NO,YES,NO
"Sustainable Environmental Educationinc",sustainable-environmental-educationinc,environment,MISSING,"MISSING",MISSING,NO,YES,NO
"Environmental Forum",environmental-forum,environment,MISSING,"MISSING",MISSING,NO,YES,NO
"Environmental Research Alliance",environmental-research-alliance,environment,MISSING,"MISSING",MISSING,NO,YES,NO
"Mmps Environmental",mmps-environmental,environment,MISSING,"MISSING",MISSING,NO,YES,NO
"Environmental Stewardship",environmental-stewardship,environment,MISSING,"MISSING",MISSING,NO,YES,NO
"Inclusive Environments",inclusive-environments,environment,MISSING,"MISSING",MISSING,NO,YES,NO
"Subsea Environmental Solutions",subsea-environmental-solutions,environment,MISSING,"MISSING",MISSING,NO,YES,NO
"Creative Positive Environments",creative-positive-environments,environment,MISSING,"MISSING",MISSING,NO,YES,NO
"Kleberg County Child Welfare Board Protect Our Children",kleberg-county-child-welfare-board-protect-our-children,children,MISSING,"MISSING",MISSING,NO,YES,NO
"A Childs Voice Child Advocacy Center Inc",a-childs-voice-child-advocacy-center-inc,children,MISSING,"MISSING",MISSING,NO,YES,NO
"Children And Screens-Institute Of Digital Media And Child Developmen",children-and-screens-institute-of-digital-media-and-child-developmen,children,MISSING,"MISSING",MISSING,NO,YES,YES
"Sunnyvale Child Care Outreach Center For Disabled Children",sunnyvale-child-care-outreach-center-for-disabled-children,children,MISSING,"MISSING",MISSING,NO,YES,NO
"Children First Child Care",children-first-child-care,children,MISSING,"MISSING",MISSING,NO,YES,NO
"Finding Dreams In Children Child Development Center Inc",finding-dreams-in-children-child-development-center-inc,children,MISSING,"MISSING",MISSING,NO,YES,NO
"Patrons of the World's Children Hospital, Inc.",patrons,children,MISSING,"MISSING",MISSING,NO,YES,YES
"Children Of Promise Child Care Ministry Inc",children-of-promise-child-care-ministry-inc,children,MISSING,"MISSING",MISSING,NO,YES,NO
"The Children's Advocacy Center for Rockwall County, Texas",rockwallcac,children,MISSING,"MISSING",MISSING,NO,YES,YES
"Envision Children ""Where Your Child's Future is Our Top Priority""",envisionchildren,children,MISSING,"MISSING",MISSING,NO,YES,YES
"Cden Elderly Care",cden-elderly-care,elderly,MISSING,"MISSING",MISSING,NO,YES,NO
"Rural Housing For The Elderly",rural-housing-for-the-elderly,elderly,MISSING,"MISSING",MISSING,NO,YES,YES
"Tcoa Elderly Housing Inc",tcoa-elderly-housing-inc,elderly,MISSING,"MISSING",MISSING,NO,YES,NO
"Wardwell Commons Elderly Housing Inc",wardwell-commons-elderly-housing-inc,elderly,MISSING,"MISSING",MISSING,NO,YES,NO
"Lymes Elderly Housing Inc",lymes-elderly-housing-inc,elderly,MISSING,"MISSING",MISSING,NO,YES,NO
"Elderly Citizens Housing Opportunities Inc",elderly-citizens-housing-opportunities-inc,elderly,MISSING,"MISSING",MISSING,NO,YES,NO
"Roxies Elderly Homes",roxies-elderly-homes,elderly,MISSING,"MISSING",MISSING,NO,YES,NO
"Sunset Elderly Housing Corporation",sunset-elderly-housing-corporation,elderly,MISSING,"MISSING",MISSING,NO,YES,NO
"Volunteer Homes For Elderly",volunteer-homes-for-elderly,elderly,MISSING,"MISSING",MISSING,NO,YES,NO
"Ecoa Elderly Housing Corporation",ecoa-elderly-housing-corporation,elderly,MISSING,"MISSING",MISSING,NO,YES,NO
"Human Rights Alliance",human-rights-alliance,human rights,MISSING,"MISSING",MISSING,NO,YES,NO
"Human Rights Coalltion",human-rights-coalltion,human rights,MISSING,"MISSING",MISSING,NO,YES,NO
"Human Rights Coalition",human-rights-coalition,human rights,MISSING,"MISSING",MISSING,NO,YES,NO
"Human Rights In Childbirth",human-rights-in-childbirth,human rights,MISSING,"MISSING",MISSING,NO,YES,NO
"Human Rights Collective",human-rights-collective,human rights,MISSING,"MISSING",MISSING,NO,YES,NO
"Tybeemlk Human Rights Organization",tybeemlk-human-rights-organization,human rights,MISSING,"MISSING",MISSING,NO,YES,NO
"Interfaith Human Rights Services",interfaith-human-rights-services,human rights,MISSING,"MISSING",MISSING,NO,YES,NO
"Human Rights Haggadah Limited",human-rights-haggadah-limited,human rights,MISSING,"MISSING",MISSING,NO,YES,NO
"Human Rights Revival",human-rights-revival,human rights,MISSING,"MISSING",MISSING,NO,YES,NO
"Human Rights Connected",human-rights-connected,human rights,MISSING,"MISSING",MISSING,NO,YES,NO
